,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_offset11[0],-0.165,0.836,-1.842,1.353,0.02,0.014,1802.0,2125.0,1.0
b_offset11[1],-0.226,0.903,-2.024,1.397,0.02,0.014,2034.0,2158.0,1.0
b_offset11[2],-0.175,0.835,-1.751,1.418,0.018,0.013,2241.0,2232.0,1.0
b_offset11[3],-0.028,0.867,-1.768,1.482,0.017,0.013,2486.0,2400.0,1.0
b_offset11[4],0.649,0.866,-0.944,2.299,0.021,0.015,1758.0,1887.0,1.0
b_offset11[5],0.729,0.845,-0.796,2.378,0.02,0.014,1800.0,2152.0,1.0
b_offset11[6],-0.034,0.84,-1.456,1.69,0.018,0.014,2069.0,2387.0,1.0
b_offset11[7],-0.295,0.774,-1.747,1.154,0.019,0.014,1667.0,1853.0,1.0
b_offset11[8],-0.497,0.882,-2.224,1.139,0.022,0.016,1585.0,1738.0,1.0
b_offset11[9],-0.126,0.87,-1.659,1.589,0.02,0.015,1869.0,1995.0,1.0
b_offset11[10],1.11,0.839,-0.463,2.727,0.025,0.018,1175.0,1405.0,1.01
b_offset11[11],0.319,0.844,-1.178,1.976,0.021,0.015,1596.0,1940.0,1.0
b_offset11[12],-0.545,0.938,-2.35,1.192,0.024,0.017,1542.0,2020.0,1.0
b_offset11[13],-0.597,0.88,-2.222,1.096,0.029,0.02,967.0,1604.0,1.01
b_offset11[14],-0.666,0.914,-2.183,1.257,0.024,0.017,1438.0,1921.0,1.0
b_offset11[15],0.183,0.839,-1.4,1.731,0.019,0.015,1932.0,1929.0,1.0
b_offset11[16],-0.24,0.832,-1.82,1.269,0.018,0.015,2032.0,2392.0,1.0
b_offset11[17],-0.145,0.903,-1.858,1.468,0.022,0.016,1662.0,2304.0,1.0
b_offset11[18],-0.462,0.889,-2.224,1.138,0.026,0.018,1201.0,2102.0,1.01
b_offset11[19],-0.582,0.935,-2.353,1.187,0.023,0.016,1655.0,1999.0,1.0
b_offset11[20],-0.245,0.877,-1.946,1.336,0.018,0.014,2497.0,2649.0,1.0
b_offset11[21],-0.548,0.9,-2.334,1.096,0.021,0.015,1867.0,1872.0,1.0
b_offset11[22],0.174,0.858,-1.416,1.81,0.018,0.013,2309.0,2543.0,1.0
b_offset11[23],0.312,0.865,-1.31,1.927,0.019,0.013,2058.0,2481.0,1.0
b_offset11[24],0.009,0.869,-1.695,1.584,0.021,0.015,1726.0,1835.0,1.0
b_offset11[25],-0.32,0.896,-1.925,1.501,0.022,0.015,1710.0,2284.0,1.0
b_offset11[26],-0.176,0.867,-1.782,1.426,0.019,0.014,2006.0,2242.0,1.0
b_offset11[27],-0.007,0.88,-1.715,1.576,0.019,0.018,2082.0,1559.0,1.0
b_offset11[28],0.106,0.851,-1.527,1.694,0.019,0.015,2160.0,2169.0,1.0
b_offset11[29],0.492,0.862,-1.076,2.174,0.022,0.016,1526.0,1743.0,1.0
b_offset11[30],0.125,0.86,-1.469,1.708,0.019,0.014,2070.0,1839.0,1.0
b_offset11[31],1.08,0.952,-0.678,2.877,0.034,0.024,843.0,687.0,1.01
b_offset11[32],0.655,0.896,-1.085,2.295,0.023,0.016,1488.0,2514.0,1.0
b_offset11[33],0.182,0.853,-1.37,1.775,0.02,0.014,1928.0,2292.0,1.0
mu_b12,0.181,0.11,-0.034,0.379,0.004,0.003,673.0,1286.0,1.01
b_offset12[0],0.122,0.932,-1.604,1.879,0.018,0.016,2624.0,2513.0,1.0
b_offset12[1],-0.106,0.933,-1.931,1.605,0.02,0.015,2104.0,2460.0,1.0
b_offset12[2],0.109,0.922,-1.685,1.821,0.021,0.015,2040.0,2220.0,1.0
b_offset12[3],-0.84,0.985,-2.614,1.025,0.024,0.017,1738.0,2402.0,1.0
b_offset12[4],-0.711,0.992,-2.635,1.209,0.027,0.019,1390.0,1754.0,1.0
