,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_b8,-0.068,0.131,-0.307,0.171,0.053,0.039,6.0,13.0,1.64
b8[1988-1989],-0.068,0.133,-0.324,0.171,0.053,0.039,7.0,14.0,1.62
b8[1989-1990],-0.07,0.133,-0.321,0.17,0.053,0.039,7.0,14.0,1.62
b8[1990-1991],-0.07,0.132,-0.316,0.172,0.052,0.039,7.0,15.0,1.62
b8[1991-1992],-0.066,0.132,-0.293,0.194,0.053,0.039,7.0,13.0,1.63
b8[1992-1993],-0.076,0.132,-0.321,0.163,0.052,0.039,7.0,14.0,1.61
b8[1993-1994],-0.072,0.132,-0.312,0.173,0.052,0.039,7.0,14.0,1.62
b8[1994-1995],-0.064,0.133,-0.314,0.176,0.053,0.039,7.0,13.0,1.64
b8[1995-1996],-0.069,0.132,-0.302,0.188,0.052,0.039,7.0,14.0,1.62
b8[1996-1997],-0.067,0.133,-0.289,0.2,0.053,0.039,7.0,14.0,1.61
b8[1997-1998],-0.072,0.132,-0.304,0.184,0.052,0.039,7.0,15.0,1.62
b8[1998-1999],-0.062,0.133,-0.278,0.208,0.053,0.039,7.0,14.0,1.63
b8[1999-2000],-0.071,0.133,-0.312,0.177,0.053,0.039,7.0,14.0,1.63
b8[2000-2001],-0.069,0.132,-0.311,0.174,0.053,0.039,7.0,15.0,1.62
b8[2001-2002],-0.065,0.133,-0.316,0.176,0.053,0.039,7.0,14.0,1.63
b8[2002-2003],-0.068,0.133,-0.31,0.175,0.053,0.039,7.0,14.0,1.63
b8[2003-2004],-0.068,0.133,-0.314,0.174,0.053,0.039,7.0,14.0,1.63
b8[2004-2005],-0.067,0.133,-0.265,0.229,0.053,0.039,7.0,13.0,1.62
b8[2005-2006],-0.07,0.133,-0.315,0.169,0.053,0.039,7.0,15.0,1.63
b8[2006-2007],-0.067,0.133,-0.311,0.178,0.053,0.039,7.0,14.0,1.63
b8[2007-2008],-0.065,0.132,-0.305,0.181,0.053,0.039,7.0,14.0,1.63
b8[2008-2009],-0.067,0.133,-0.31,0.178,0.053,0.039,7.0,14.0,1.63
b8[2009-2010],-0.071,0.133,-0.307,0.19,0.053,0.039,7.0,15.0,1.62
b8[2010-2011],-0.071,0.133,-0.312,0.17,0.053,0.039,7.0,15.0,1.62
b8[2011-2012],-0.067,0.133,-0.308,0.182,0.053,0.039,7.0,14.0,1.63
b8[2012-2013],-0.063,0.132,-0.315,0.171,0.053,0.039,7.0,12.0,1.63
b8[2013-2014],-0.068,0.132,-0.311,0.176,0.053,0.039,7.0,14.0,1.63
b8[2014-2015],-0.064,0.133,-0.313,0.175,0.053,0.039,7.0,14.0,1.63
b8[2015-2016],-0.061,0.133,-0.28,0.209,0.053,0.039,7.0,13.0,1.64
b8[2016-2017],-0.071,0.133,-0.313,0.169,0.053,0.039,7.0,14.0,1.63
b8[2017-2018],-0.073,0.133,-0.295,0.193,0.053,0.039,7.0,13.0,1.63
b8[2018-2019],-0.073,0.132,-0.312,0.172,0.052,0.039,7.0,14.0,1.61
b8[2019-2020],-0.066,0.133,-0.305,0.175,0.053,0.039,7.0,14.0,1.64
b8[2020-2021],-0.068,0.133,-0.314,0.177,0.053,0.039,6.0,14.0,1.64
b8[2021-2022],-0.068,0.132,-0.305,0.184,0.052,0.039,7.0,14.0,1.62
mu_b9,0.195,0.26,-0.351,0.565,0.107,0.079,6.0,14.0,1.74
b9[1988-1989],0.196,0.261,-0.335,0.582,0.107,0.08,6.0,15.0,1.73
b9[1989-1990],0.194,0.261,-0.341,0.576,0.107,0.079,6.0,15.0,1.72
b9[1990-1991],0.194,0.26,-0.337,0.581,0.106,0.079,6.0,14.0,1.71
b9[1991-1992],0.197,0.262,-0.343,0.581,0.107,0.08,6.0,14.0,1.72
b9[1992-1993],0.186,0.259,-0.363,0.542,0.106,0.079,6.0,15.0,1.71
b9[1993-1994],0.19,0.26,-0.354,0.558,0.107,0.079,6.0,15.0,1.71
b9[1994-1995],0.204,0.263,-0.349,0.582,0.108,0.08,6.0,14.0,1.73
b9[1995-1996],0.194,0.26,-0.341,0.576,0.106,0.079,6.0,14.0,1.72
b9[1996-1997],0.197,0.262,-0.367,0.554,0.107,0.08,6.0,14.0,1.73
b9[1997-1998],0.189,0.259,-0.366,0.55,0.106,0.079,6.0,15.0,1.71
b9[1998-1999],0.199,0.263,-0.34,0.585,0.108,0.08,6.0,14.0,1.73
b9[1999-2000],0.191,0.259,-0.348,0.561,0.106,0.079,6.0,15.0,1.71
b9[2000-2001],0.197,0.261,-0.347,0.576,0.107,0.08,6.0,15.0,1.72
b9[2001-2002],0.199,0.262,-0.374,0.549,0.107,0.08,6.0,14.0,1.73
b9[2002-2003],0.194,0.26,-0.333,0.579,0.106,0.079,6.0,14.0,1.72
b9[2003-2004],0.196,0.261,-0.36,0.556,0.107,0.08,6.0,14.0,1.73
b9[2004-2005],0.197,0.262,-0.369,0.552,0.107,0.08,6.0,14.0,1.73
b9[2005-2006],0.198,0.262,-0.342,0.579,0.107,0.08,6.0,14.0,1.73
b9[2006-2007],0.197,0.261,-0.365,0.555,0.107,0.08,6.0,14.0,1.73
b9[2007-2008],0.199,0.262,-0.344,0.58,0.107,0.08,6.0,14.0,1.73
b9[2008-2009],0.197,0.261,-0.34,0.577,0.107,0.08,6.0,14.0,1.73
b9[2009-2010],0.192,0.26,-0.359,0.552,0.106,0.079,6.0,15.0,1.72
b9[2010-2011],0.193,0.26,-0.342,0.574,0.106,0.079,6.0,15.0,1.71
b9[2011-2012],0.198,0.261,-0.346,0.58,0.107,0.08,6.0,14.0,1.72
b9[2012-2013],0.201,0.262,-0.367,0.563,0.107,0.08,6.0,14.0,1.73
b9[2013-2014],0.192,0.259,-0.361,0.546,0.106,0.079,6.0,14.0,1.72
b9[2014-2015],0.2,0.262,-0.353,0.578,0.107,0.08,6.0,14.0,1.72
b9[2015-2016],0.204,0.264,-0.355,0.579,0.108,0.08,6.0,14.0,1.74
b9[2016-2017],0.194,0.26,-0.34,0.577,0.107,0.079,6.0,15.0,1.72
b9[2017-2018],0.19,0.258,-0.363,0.551,0.105,0.079,6.0,15.0,1.71
b9[2018-2019],0.188,0.259,-0.362,0.547,0.106,0.079,6.0,16.0,1.72
b9[2019-2020],0.198,0.261,-0.344,0.577,0.107,0.08,6.0,14.0,1.72
b9[2020-2021],0.196,0.261,-0.362,0.559,0.107,0.079,6.0,14.0,1.72
b9[2021-2022],0.193,0.26,-0.333,0.584,0.107,0.079,6.0,15.0,1.72
mu_b10,0.019,0.016,-0.011,0.049,0.004,0.003,17.0,84.0,1.17
b10[1988-1989],0.018,0.019,-0.018,0.054,0.004,0.003,25.0,104.0,1.11
b10[1989-1990],0.019,0.019,-0.017,0.055,0.004,0.003,26.0,85.0,1.11
b10[1990-1991],0.019,0.019,-0.016,0.054,0.004,0.003,24.0,131.0,1.12
b10[1991-1992],0.021,0.019,-0.013,0.057,0.004,0.003,21.0,85.0,1.13
b10[1992-1993],0.022,0.019,-0.016,0.056,0.004,0.003,21.0,86.0,1.13
b10[1993-1994],0.021,0.019,-0.015,0.056,0.004,0.003,21.0,67.0,1.12
b10[1994-1995],0.017,0.019,-0.019,0.05,0.004,0.003,27.0,110.0,1.1
b10[1995-1996],0.017,0.018,-0.017,0.052,0.004,0.003,24.0,101.0,1.11
b10[1996-1997],0.017,0.018,-0.019,0.052,0.004,0.003,26.0,71.0,1.11
b10[1997-1998],0.018,0.018,-0.017,0.052,0.004,0.003,22.0,60.0,1.13
b10[1998-1999],0.021,0.018,-0.015,0.053,0.004,0.003,18.0,66.0,1.14
b10[1999-2000],0.02,0.018,-0.016,0.052,0.004,0.003,23.0,88.0,1.11
b10[2000-2001],0.017,0.019,-0.02,0.051,0.004,0.003,26.0,78.0,1.11
b10[2001-2002],0.018,0.018,-0.015,0.052,0.003,0.002,25.0,86.0,1.12
b10[2002-2003],0.019,0.019,-0.017,0.053,0.004,0.003,25.0,119.0,1.12
b10[2003-2004],0.019,0.018,-0.015,0.054,0.004,0.003,23.0,94.0,1.12
b10[2004-2005],0.018,0.018,-0.017,0.053,0.004,0.003,23.0,87.0,1.12
b10[2005-2006],0.016,0.019,-0.022,0.05,0.004,0.003,23.0,67.0,1.12
b10[2006-2007],0.018,0.018,-0.018,0.052,0.004,0.003,21.0,54.0,1.13
b10[2007-2008],0.02,0.018,-0.016,0.053,0.004,0.003,22.0,66.0,1.13
b10[2008-2009],0.018,0.018,-0.017,0.053,0.004,0.003,24.0,76.0,1.12
b10[2009-2010],0.02,0.018,-0.016,0.054,0.004,0.003,25.0,110.0,1.11
b10[2010-2011],0.019,0.018,-0.015,0.054,0.004,0.003,24.0,88.0,1.12
b10[2011-2012],0.02,0.018,-0.014,0.054,0.004,0.003,22.0,82.0,1.12
b10[2012-2013],0.018,0.019,-0.019,0.051,0.004,0.003,24.0,73.0,1.11
b10[2013-2014],0.021,0.018,-0.015,0.055,0.004,0.003,21.0,85.0,1.13
b10[2014-2015],0.016,0.019,-0.022,0.051,0.004,0.003,24.0,61.0,1.12
b10[2015-2016],0.016,0.019,-0.021,0.05,0.004,0.003,29.0,106.0,1.1
b10[2016-2017],0.018,0.018,-0.017,0.053,0.004,0.003,23.0,64.0,1.12
